country,iso_code,year,gdp
Argentina,ARG,1990,141352368714.69
Argentina,ARG,2000,284203750000.00
Argentina,ARG,2012,545982375701.13
Argentina,ARG,2013,552025140252.25
Argentina,ARG,2014,526319673731.64
Argentina,ARG,2015,594749285413.21
Argentina,ARG,2016,557531376217.97
Argentina,ARG,2017,643628665302.16
Argentina,ARG,2018,524819742918.67
Argentina,ARG,2019,447754609218.68
Argentina,ARG,2020,385540224628.29
Argentina,ARG,2021,487227339102.67
Australia,AUS,1990,311433628318.58
Australia,AUS,2000,415851284305.72
Australia,AUS,2012,1546892142709.84
Australia,AUS,2013,1576380424746.08
Australia,AUS,2014,1467545212521.80
Australia,AUS,2015,1350615691821.28
Australia,AUS,2016,1206535157956.03
Australia,AUS,2017,1326516328531.56
Australia,AUS,2018,1428288504767.07
Australia,AUS,2019,1392227864397.08
Australia,AUS,2020,1326901059123.21
Australia,AUS,2021,1552667363236.06
Austria,AUT,1990,166463386179.35
Austria,AUT,2000,197289625479.91
Austria,AUT,2012,409401816050.53
Austria,AUT,2013,430190979705.96
Austria,AUT,2014,442584815286.03
Austria,AUT,2015,381971148530.54
Austria,AUT,2016,395837353031.50
Austria,AUT,2017,417261151844.98
Austria,AUT,2018,454991174096.10
Austria,AUT,2019,444621176100.55
Austria,AUT,2020,435225238000.44
Austria,AUT,2021,480368403893.36
Belgium,BEL,1990,205331747947.85
Belgium,BEL,2000,236792460312.47
Belgium,BEL,2012,496152879924.73
Belgium,BEL,2013,521791015247.06
Belgium,BEL,2014,535390200131.02
Belgium,BEL,2015,462335574841.48
Belgium,BEL,2016,476062757356.93
Belgium,BEL,2017,502764720556.35
Belgium,BEL,2018,543299066998.90
Belgium,BEL,2019,535830876745.10
Belgium,BEL,2020,525211810652.61
Belgium,BEL,2021,594104177539.53
Brazil,BRA,1990,390725626002.87
Brazil,BRA,2000,655448188237.37
Brazil,BRA,2012,2465188674415.03
Brazil,BRA,2013,2472806919901.67
Brazil,BRA,2014,2455993625159.37
Brazil,BRA,2015,1802214373741.32
Brazil,BRA,2016,1795700168991.49
Brazil,BRA,2017,2063507864886.88
Brazil,BRA,2018,1916947014067.55
Brazil,BRA,2019,1873274432754.47
Brazil,BRA,2020,1448559976218.19
Brazil,BRA,2021,1608981456325.08
Canada,CAN,1990,593929550908.47
Canada,CAN,2000,744773415931.59
Canada,CAN,2012,1828366481521.60
Canada,CAN,2013,1846597421834.98
Canada,CAN,2014,1805749878439.94
Canada,CAN,2015,1556508816217.14
Canada,CAN,2016,1527994741907.43
Canada,CAN,2017,1649265644244.09
Canada,CAN,2018,1725329192783.02
Canada,CAN,2019,1742015045482.31
Canada,CAN,2020,1645423407568.36
Canada,CAN,2021,1988336331717.42
Switzerland,CHE,1990,265763573999.42
Switzerland,CHE,2000,279216033870.20
Switzerland,CHE,2012,686420221557.99
Switzerland,CHE,2013,706234937370.97
Switzerland,CHE,2014,726537808338.00
Switzerland,CHE,2015,694118186379.63
Switzerland,CHE,2016,687895460902.71
Switzerland,CHE,2017,695200833086.50
Switzerland,CHE,2018,725568717468.00
Switzerland,CHE,2019,721369112726.72
Switzerland,CHE,2020,739913619797.45
Switzerland,CHE,2021,800640155387.26
China,CHN,1990,360857912565.97
China,CHN,2000,1211346869605.24
China,CHN,2012,8532229986993.65
China,CHN,2013,9570406235659.64
China,CHN,2014,10475682920594.50
China,CHN,2015,11061553079876.40
China,CHN,2016,11233276536737.20
China,CHN,2017,12310409370892.80
China,CHN,2018,13894817549374.20
China,CHN,2019,14279937500606.50
China,CHN,2020,14687673892882.00
China,CHN,2021,17734062645371.40
Germany,DEU,1990,1771671206875.68
Germany,DEU,2000,1947981991011.77
Germany,DEU,2012,3527143188785.16
Germany,DEU,2013,3733804649549.03
Germany,DEU,2014,3889093051023.52
Germany,DEU,2015,3357585719351.56
Germany,DEU,2016,3469853463945.53
Germany,DEU,2017,3690849152517.65
Germany,DEU,2018,3974443355019.60
Germany,DEU,2019,3888226035921.56
Germany,DEU,2020,3889668895299.62
Germany,DEU,2021,4259934911821.64
Spain,ESP,1990,536558591250.41
Spain,ESP,2000,598363313494.90
Spain,ESP,2012,1324750738725.00
Spain,ESP,2013,1355579535912.55
Spain,ESP,2014,1371820537888.62
Spain,ESP,2015,1196156971279.69
Spain,ESP,2016,1233554967011.68
Spain,ESP,2017,1313245330197.65
Spain,ESP,2018,1421702715218.04
Spain,ESP,2019,1394320055129.41
Spain,ESP,2020,1276962685648.25
Spain,ESP,2021,1427380681294.55
France,FRA,1990,1269179616913.63
France,FRA,2000,1365639660792.16
France,FRA,2012,2683671716967.19
France,FRA,2013,2811876903329.03
France,FRA,2014,2855964488590.19
France,FRA,2015,2439188643162.50
France,FRA,2016,2472964344587.17
France,FRA,2017,2595151045197.65
France,FRA,2018,2790956878746.66
France,FRA,2019,2728870246705.88
France,FRA,2020,2639008701648.26
France,FRA,2021,2957879759263.52
United Kingdom,GBR,1990,1093169389204.55
United Kingdom,GBR,2000,1666126494174.61
United Kingdom,GBR,2012,2706340967030.68
United Kingdom,GBR,2013,2786315215249.95
United Kingdom,GBR,2014,3065223279583.79
United Kingdom,GBR,2015,2934857946213.47
United Kingdom,GBR,2016,2699659680997.20
United Kingdom,GBR,2017,2683399006715.79
United Kingdom,GBR,2018,2878152147315.82
United Kingdom,GBR,2019,2857057847953.02
United Kingdom,GBR,2020,2704609160088.15
United Kingdom,GBR,2021,3131377762925.95
Indonesia,IDN,1990,106140727356.68
Indonesia,IDN,2000,165021012077.81
Indonesia,IDN,2012,917869910105.75
Indonesia,IDN,2013,912524136718.02
Indonesia,IDN,2014,890814755233.23
Indonesia,IDN,2015,860854235065.08
Indonesia,IDN,2016,931877364177.74
Indonesia,IDN,2017,1015618742565.81
Indonesia,IDN,2018,1042271531011.99
Indonesia,IDN,2019,1119099868265.25
Indonesia,IDN,2020,1058688935454.78
Indonesia,IDN,2021,1186092991320.04
India,IND,1990,320979026420.04
India,IND,2000,468394937262.37
India,IND,2012,1827637859506.25
India,IND,2013,1856722121394.42
India,IND,2014,2039127446299.30
India,IND,2015,2103587813812.75
India,IND,2016,2294797980509.01
India,IND,2017,2651472946375.05
India,IND,2018,2702929718960.46
India,IND,2019,2831552222519.99
India,IND,2020,2667687951796.50
India,IND,2021,3176295065497.24
Ireland,IRL,1990,49305632408.49
Ireland,IRL,2000,100207610429.91
Ireland,IRL,2012,225628699652.99
Ireland,IRL,2013,238340859896.94
Ireland,IRL,2014,259170903647.54
Ireland,IRL,2015,291775166506.89
